Tribunal Regional Eleitoral do Ceará
Secretaria de Tecnologia da Informação
Resultados Eleitorais - Eleições Gerais 2018 - 1º Turno - 07/10/2018
Dados gerados em 17/12/2018 15:25:53 sujeitos a alterações

DEPUTADO FEDERAL -  ELEITOS

Número;Nome do Candidato;Nome para Urna;Votos Nominais;Situação;% Votos Válidos;Partido;Partido/Coligação
9090;WAGNER SOUSA GOMES;CAPITÃO WAGNER;303.593;Eleito por QP;6,61;PROS;90 - PROS
4321;CELIO STUDART BARBOSA;CELIO STUDART;208.854;Eleito por QP;4,54;PV;13 - PT, 65 - PC do B, 11 - PP, 43 - PV, 22 - PR, 33 - PMN
1313;LUIZIANNE DE OLIVEIRA LINS;LUIZIANNE;173.777;Eleito por QP;3,78;PT;13 - PT, 65 - PC do B, 11 - PP, 43 - PV, 22 - PR, 33 - PMN
1322;JOSE NOBRE GUIMARAES;GUIMARAES;173.039;Eleito por QP;3,76;PT;13 - PT, 65 - PC do B, 11 - PP, 43 - PV, 22 - PR, 33 - PMN
1221;CARLOS MAURO BENEVIDES FILHO;MAURO FILHO;157.510;Eleito por QP;3,43;PDT;12 - PDT, 14 - PTB, 25 - DEM, 40 - PSB, 44 - PRP, 54 - PPL
1213;ANTONIO IDILVAN DE LIMA ALENCAR;IDILVAN;154.338;Eleito por QP;3,36;PDT;12 - PDT, 14 - PTB, 25 - DEM, 40 - PSB, 44 - PRP, 54 - PPL
1111;ANTONIO JOSE AGUIAR ALBUQUERQUE;AJ ALBUQUERQUE;132.319;Eleito por QP;2,88;PP;13 - PT, 65 - PC do B, 11 - PP, 43 - PV, 22 - PR, 33 - PMN
1233;MARCOS ROBERIO RIBEIRO MONTEIRO;ROBÉRIO MONTEIRO;131.275;Eleito por QP;2,86;PDT;12 - PDT, 14 - PTB, 25 - DEM, 40 - PSB, 44 - PRP, 54 - PPL
1515;MOSES HAENDEL MELO RODRIGUES;MOSES RODRIGUES;128.526;Eleito por QP;2,80;MDB;15 - MDB, 31 - PHS, 70 - AVANTE, 77 - SOLIDARIEDADE, 55 - PSD, 20 - PSC, 19 - PODE, 10 - PRB
1451;PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES;PEDRO BEZERRA;119.030;Eleito por QP;2,59;PTB;12 - PDT, 14 - PTB, 25 - DEM, 40 - PSB, 44 - PRP, 54 - PPL
7777;GENECIAS MATEUS NORONHA;GENECIAS NORONHA;113.515;Eleito por QP;2,47;SOLIDARIEDADE;15 - MDB, 31 - PHS, 70 - AVANTE, 77 - SOLIDARIEDADE, 55 - PSD, 20 - PSC, 19 - PODE, 10 - PRB
5555;DOMINGOS GOMES DE AGUIAR NETO;DOMINGOS NETO;111.154;Eleito por QP;2,42;PSD;15 - MDB, 31 - PHS, 70 - AVANTE, 77 - SOLIDARIEDADE, 55 - PSD, 20 - PSC, 19 - PODE, 10 - PRB
4000;DENIS ANDERSON DA ROCHA BEZERRA;DENIS BEZERRA;106.294;Eleito por QP;2,31;PSB;12 - PDT, 14 - PTB, 25 - DEM, 40 - PSB, 44 - PRP, 54 - PPL
1234;ANDRE PEIXOTO FIGUEIREDO LIMA;ANDRÉ FIGUEIREDO;103.385;Eleito por QP;2,25;PDT;12 - PDT, 14 - PTB, 25 - DEM, 40 - PSB, 44 - PRP, 54 - PPL
4580;ROBERTO SOARES PESSOA;ROBERTO PESSOA;102.470;Eleito por QP;2,23;PSDB;45 - PSDB
1212;JOSÉ LEÔNIDAS DE MENEZES CRISTINO;LEONIDAS CRISTINO;102.417;Eleito por média;2,23;PDT;12 - PDT, 14 - PTB, 25 - DEM, 40 - PSB, 44 - PRP, 54 - PPL
1717;HEITOR RODRIGO PEREIRA FREIRE;HEITOR FREIRE;97.201;Eleito por média;2,11;PSL;27 - DC, 17 - PSL
1214;EDUARDO HENRIQUE MAIA BISMARCK;EDUARDO BISMARCK;87.009;Eleito por média;1,89;PDT;12 - PDT, 14 - PTB, 25 - DEM, 40 - PSB, 44 - PRP, 54 - PPL
1333;JOSE AIRTON FELIX CIRILO DA SILVA;JOSE AIRTON;74.099;Eleito por QP;1,61;PT;13 - PT, 65 - PC do B, 11 - PP, 43 - PV, 22 - PR, 33 - PMN
5151;ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR;JÚNIOR MANO;67.917;Eleito por QP;1,48;PATRI;23 - PPS, 28 - PRTB, 51 - PATRI
2277;JAZIEL PEREIRA DE SOUSA;DR.JAZIEL;65.300;Eleito por média;1,42;PR;13 - PT, 65 - PC do B, 11 - PP, 43 - PV, 22 - PR, 33 - PMN
9099;FRANCISCO VAIDON OLIVEIRA;VAIDON OLIVEIRA;30.392;Eleito por QP;0,66;PROS;90 - PROS

TOTAL;;;2.743.414;;59,69;;
