"ANO_ELEICAO","NUM_TURNO","UF","DESCRICAO_CARGO","NUMERO_PARTIDO","SIGLA_PARTIDO","QTDE_VOTOS"
"2018","1","CE","DEPUTADO FEDERAL","70","AVANTE","56487"
"2018","1","CE","DEPUTADO FEDERAL","27","DC","19978"
"2018","1","CE","DEPUTADO FEDERAL","25","DEM","83740"
"2018","1","CE","DEPUTADO FEDERAL","15","MDB","148624"
"2018","1","CE","DEPUTADO FEDERAL","30","NOVO","36326"
"2018","1","CE","DEPUTADO FEDERAL","51","PATRI","152094"
"2018","1","CE","DEPUTADO FEDERAL","65","PC do B","87714"
"2018","1","CE","DEPUTADO FEDERAL","21","PCB","2832"
"2018","1","CE","DEPUTADO FEDERAL","12","PDT","1015230"
"2018","1","CE","DEPUTADO FEDERAL","31","PHS","9284"
"2018","1","CE","DEPUTADO FEDERAL","33","PMN","7157"
"2018","1","CE","DEPUTADO FEDERAL","19","PODE","68355"
"2018","1","CE","DEPUTADO FEDERAL","11","PP","200143"
"2018","1","CE","DEPUTADO FEDERAL","54","PPL","33322"
"2018","1","CE","DEPUTADO FEDERAL","23","PPS","47646"
"2018","1","CE","DEPUTADO FEDERAL","22","PR","138281"
"2018","1","CE","DEPUTADO FEDERAL","10","PRB","107881"
"2018","1","CE","DEPUTADO FEDERAL","90","PROS","448211"
"2018","1","CE","DEPUTADO FEDERAL","44","PRP","3332"
"2018","1","CE","DEPUTADO FEDERAL","28","PRTB","63845"
"2018","1","CE","DEPUTADO FEDERAL","40","PSB","188846"
"2018","1","CE","DEPUTADO FEDERAL","20","PSC","19219"
"2018","1","CE","DEPUTADO FEDERAL","55","PSD","151060"
"2018","1","CE","DEPUTADO FEDERAL","45","PSDB","244788"
"2018","1","CE","DEPUTADO FEDERAL","17","PSL","168839"
"2018","1","CE","DEPUTADO FEDERAL","50","PSOL","66079"
"2018","1","CE","DEPUTADO FEDERAL","16","PSTU","1240"
"2018","1","CE","DEPUTADO FEDERAL","13","PT","522986"
"2018","1","CE","DEPUTADO FEDERAL","14","PTB","125663"
"2018","1","CE","DEPUTADO FEDERAL","36","PTC","5010"
"2018","1","CE","DEPUTADO FEDERAL","43","PV","211661"
"2018","1","CE","DEPUTADO FEDERAL","18","REDE","24761"
"2018","1","CE","DEPUTADO FEDERAL","77","SOLIDARIEDADE","144756"
